Question Title,Description,Accepted Answer
HomeKit issues when using HMCatalog app,"I'm currently working on a mobile app for a HomeKit compliant accessory. I am using the HMCatalog app and the HomeKit Accessory Simulator for testing purposes. The issue I'm seeing involves my mobile app and the HMCatalog app. I was under the impression that HomeKit syncs through a user's iCloud account. When I am signed in with my iCloud account on one phone (Phone A), any Homes/Rooms/Accessories that I add on in the Catalog on Phone A will show up in my mobile app on Phone A.However, when I use Phone B, and sign into the same iCloud account, I don't see the same data in Phone B that was in Phone A. The information appearing in HM Catalog appears it is staying on the individual device and not being stored in iCloud.Has anyone else seen this? Is this an issue with HomeKit? With the Catalog app?I found that with HomeKit there are some propagation issues. Sometimes it depends on the network you are in (some block _hap services).Best way to test it is with a local USB dongle and put the accessories in the dongle network. This should limit the propagation issues.Hope it helps.I faced the same issue and was pulling my hair on this one. It's an iOS issue, and after a lot of agonizing hours, this worked for me:See the following thread. It should be fixed in iOS > 8.1 however, may appear intermittently.","I found that with HomeKit there are some propagation issues. Sometimes it depends on the network you are in (some block _hap services).Best way to test it is with a local USB dongle and put the accessories in the dongle network. This should limit the propagation issues.Hope it helps.I faced the same issue and was pulling my hair on this one. It's an iOS issue, and after a lot of agonizing hours, this worked for me:See the following thread. It should be fixed in iOS > 8.1 however, may appear intermittently."
IoT Hub Gateway availabillity,"I heard there is an IoT Hub Gateway. Would this allow me to add custom steps for handling messaging when they go from the device through the gateway?Yes, there is an Azure IoT Hub Gateway SDK which is designed to be modular so any step you need to take can be a custom build module running within the Gateway. You can 'stack' modules to determine a flow for message handling. Like this: Decrypt->Convert2JSON->Add Metadata->Map to IoT Hub device ID-> Encrypt-> etc.You can find the sources and documentation .Your question was not too clear but if you want to know about gateway devices. I can suggest you a very good source Take a look here.I hope that might helpYes .  Hope I can help you here further. Starting from basic, What is IoT Gateway?IoT Gateway HuB is a  component which collects Sensor data from Sensor device and pushes to Cloud Platform and vice versa i.e collect action/triggers from cloud to actuator device.Why we need IoT Gateway?Sensor or Actuator device are basically preferred to equipped with Wireless Low Power communication protocol such Zwave, Zigbee or Bluetooth which mostly belongs to IEEE 801.15 standards.
Such sensor cannot interact with cloud. The Gateway device, which can connect with ISP, collect data from sensors and push it to cloud via Wifi and Ethernet.The sensors in sensor network operating in different Wireless protocol so Gateway will able to give Multi - Protocol support.How it achieve it?IoT Gateway hub has equipped with Pluggable or inbuilt transceiver module for generating a variety of Low power wireless protocol.Thus it can interact with Bluetooth Sensors or Zigbee device or etc.The software component such will build with high modular nature using framework like OSGI. So it can get updated and install or uninstall in the fly i.e without shutting down the service.So here your solution for question,You build a 'parsing/processing module' (software component ) which "" allow you to add custom steps for handling messaging"" when it goes from End-device to Cloud. If you are Software/Embedded Engineer i.e or just got some idea in programming, you can develop it yourself. Not from scratch, just depend on open source projects like openHAB or Eclipse SmartHome.Run it on Raspberry Pi like mini-computer with necessary peripherals.You can do it. I had done something like this.There was an Azure IoT Field Gateway SDK, before.  That has been renamed to Azure IoT Edge v1, because of the recent announcements for Azure IoT Edge.
Azure IoT Edge is a container based runtime that can be installed on field/edge devices.  It exists of modules (that are run as Docker containers).  These modules can be configured on the IoT Hub (as Module Twins).
You can build your own modules, or use the out of the box modules/containers that are provided by Microsoft, such as Stream Analytics, Azure functions, Machine Learning and (in the future?) Cognitive Services.More information: ","Yes, there is an Azure IoT Hub Gateway SDK which is designed to be modular so any step you need to take can be a custom build module running within the Gateway. You can 'stack' modules to determine a flow for message handling. Like this: Decrypt->Convert2JSON->Add Metadata->Map to IoT Hub device ID-> Encrypt-> etc.You can find the sources and documentation .Your question was not too clear but if you want to know about gateway devices. I can suggest you a very good source Take a look here.I hope that might helpYes .  Hope I can help you here further. Starting from basic, What is IoT Gateway?IoT Gateway HuB is a  component which collects Sensor data from Sensor device and pushes to Cloud Platform and vice versa i.e collect action/triggers from cloud to actuator device.Why we need IoT Gateway?Sensor or Actuator device are basically preferred to equipped with Wireless Low Power communication protocol such Zwave, Zigbee or Bluetooth which mostly belongs to IEEE 801.15 standards.
Such sensor cannot interact with cloud. The Gateway device, which can connect with ISP, collect data from sensors and push it to cloud via Wifi and Ethernet.The sensors in sensor network operating in different Wireless protocol so Gateway will able to give Multi - Protocol support.How it achieve it?IoT Gateway hub has equipped with Pluggable or inbuilt transceiver module for generating a variety of Low power wireless protocol.Thus it can interact with Bluetooth Sensors or Zigbee device or etc.The software component such will build with high modular nature using framework like OSGI. So it can get updated and install or uninstall in the fly i.e without shutting down the service.So here your solution for question,You build a 'parsing/processing module' (software component ) which "" allow you to add custom steps for handling messaging"" when it goes from End-device to Cloud. If you are Software/Embedded Engineer i.e or just got some idea in programming, you can develop it yourself. Not from scratch, just depend on open source projects like openHAB or Eclipse SmartHome.Run it on Raspberry Pi like mini-computer with necessary peripherals.You can do it. I had done something like this.There was an Azure IoT Field Gateway SDK, before.  That has been renamed to Azure IoT Edge v1, because of the recent announcements for Azure IoT Edge.
Azure IoT Edge is a container based runtime that can be installed on field/edge devices.  It exists of modules (that are run as Docker containers).  These modules can be configured on the IoT Hub (as Module Twins).
You can build your own modules, or use the out of the box modules/containers that are provided by Microsoft, such as Stream Analytics, Azure functions, Machine Learning and (in the future?) Cognitive Services.More information: "
"Flashing Freescale K64F Board with mbed bin file end up with fail.txt containing ""INVALID BINARY NVIC""","I try to flash the IBM InternetOfThingsKit Freescale K64F board with a binary compiled at mbed.org. I set the platform to ""Ethernet IoT Starter Kit"" and compiled the hello-world blinking LED example without any compiler errors. After I copied the bin file on the mbed flash drive I instantly found the fail.txt file on the flashdrive. Even before pressing the button to flash the binary. The failed.txt file contains ""INVALID BINARY NVIC"".I also tried it with ""FRDM-K64F"" instead of ""InternetOfThingsKit"" platform.This is a MAC related problem. Starting with Yosemite MAC has a problem to mount the device in the right way and end up with a scrambled bin file which is then rejected by the bootloader. I still have the problem with OSX 10.10.5. Solution is to use a Linux machine or Virtual Box with a Linux OS.",This is a MAC related problem. Starting with Yosemite MAC has a problem to mount the device in the right way and end up with a scrambled bin file which is then rejected by the bootloader. I still have the problem with OSX 10.10.5. Solution is to use a Linux machine or Virtual Box with a Linux OS.
what is the best scenario for implement detection of empty space to park cars in the parking lot? [closed],"I have a project to detect the empty space for parked cars in the parking lot.When a person enters the parking lot with a car, he faces a series of green and red lights above each parking lot.
There is a sensor above the head of any park location with 2 green and red lights.If a car parked in a car, the sensor detects the car and lights its red light to the fullness of the place.
If the sensor detects the location empty, that is, the car did not park under it, it lights up its green light as an empty parking spot.
Now that the driver sees the green lights, he will know where there is space for the park.
Now, I want to know what is the best scenario in your view to implementing this project? Do you recommend using a central system using a robust firewall or using multiple Arduino modules for each sensor?
Thank you for your guidance.They are different things. Raspberry PI is a computer, arduino is just a microcontroller with peripherals as facilities. Raspberry runs an Operational System inside, Arduino doesn't. Raspberry has a digital-only set of electrical interfaces. Arduino has both analog and digital.Depend on the project needs one or other is more suitable. Since IoT have infinite scenarios of applications, each one with its requirements and features, in general it is impossible to define what is better for IoT.","They are different things. Raspberry PI is a computer, arduino is just a microcontroller with peripherals as facilities. Raspberry runs an Operational System inside, Arduino doesn't. Raspberry has a digital-only set of electrical interfaces. Arduino has both analog and digital.Depend on the project needs one or other is more suitable. Since IoT have infinite scenarios of applications, each one with its requirements and features, in general it is impossible to define what is better for IoT."
How IoT devices connect to servers,"I am working on IoT project, and I should keep the embedded device to be connected with a web-service. So, which is better, requesting the webservice every 1 or 2 seconds, or opening a socket with the server to guarantee the real time operations.Taking into Consideration that working with sockets, may require me to write a lot of bunches of codes, as there's no frameworks for socket over ARM for example.ThanksMy team and I are currently working on an IOT platform, here are my suggestions:After all, you need to make your choice on your product's requirements.You can use MQTT protocol, its library is available for embedded c as well as for arduino.
Also you can choose, Rest/Coap with nodejs as the request will be waiting until node will give response
In this both scenario, real time communication can be approached without any socket and refreshing time.","My team and I are currently working on an IOT platform, here are my suggestions:After all, you need to make your choice on your product's requirements.You can use MQTT protocol, its library is available for embedded c as well as for arduino.
Also you can choose, Rest/Coap with nodejs as the request will be waiting until node will give response
In this both scenario, real time communication can be approached without any socket and refreshing time."
Sensors monitoring using Python on Rapsberry,"I would like some help to find the best way to code a Raspberry python program.In this program, I need to monitor several values coming from various sensors connected to the raspberry, and interact with these values from a pyqt GUI. The GUI and the sensors drivers have to be completely separated.To do that, I was considering to make and use a ""Variable Manager"" object between the GUI and the sensors, as a ""buffer"" or something like that. With the use of threads and locks, the sensors would update continuously the Variable Manager (with while loops in the corresponding drivers), while the GUI would query certains values whenever I need.It would be also nice to be able to send some commands to the sensors from the gui but I don't know how to do that in this configuration.Do you think that this could work correctly ? Is there any other way more efficient / more adapted to do that ?Thank you a lot in advance ! I would do it like this:[Physical Sensors] --> [Python Sensor Monitor] --> [PubNub / similar]Then your GUI can use a PubNub consumer to get the data as it's streaming and inspect/do stuff. You can use JS or Python here!",I would do it like this:[Physical Sensors] --> [Python Sensor Monitor] --> [PubNub / similar]Then your GUI can use a PubNub consumer to get the data as it's streaming and inspect/do stuff. You can use JS or Python here!
Communicate OPC Server,"Is there any dashboard solutions available to communicate OPC Server directly (OLE for Process Control + Used in Industrial Standards)? 
If so please suggest the dashboard vendor name.I am using , an open-source IOT platform. The IOT Gateway service gathers the time-stamped data (telemetry) from OPC UA servers on my network. Thingsboard stores all the telemetry in a open-source, fault tolerant database, and provides web-based, customizable dashboards for visualization.Check out the live demo.","I am using , an open-source IOT platform. The IOT Gateway service gathers the time-stamped data (telemetry) from OPC UA servers on my network. Thingsboard stores all the telemetry in a open-source, fault tolerant database, and provides web-based, customizable dashboards for visualization.Check out the live demo."
Arduino To SQL Server,"Anyone who can Help me, Please tell me How to send ultrasonic detection readings from Arduino to SQL Server using Ethernet Cable? Need Code or Helping material or Link. I don't want to send it by using any Wifi module to Arduino just by using Ethernet Cable.If you want to send it to sql server using the arduino, you have one of two options. (And I think really only one) For both, you will need to write Arduino code that can talk to an external server.You can find info on that Next, you will need to decide if you want to send it directly to a SQL Server, or if you want to send it to a RESTful Web API, and have that API write the data to SQL Server. The first option will require you to write your own implementation for TDS over TCP. TDS is the protocol SQL Server uses to send and recieve database queries. You can find info on SQL Server and the TDS protocol This option will be a lot of work, and I am not sure that you will have enough room on the arduino to fit all of the code that would be required for even just a dirty, minimal implementation. Nevermind a reliable, quick, and safe one.Your other option would be to implement a way to send HTTP Requests over TCP using the arduino. This would allow you to talk to a Web-based REST API. The API would act as a middle man, taking HTTP GET or POST Requests from the arduino, and translating them to SQL Server by means of some database driver. As far as implementing HTTP with the arduino, you can do that with precreated libaries, like As far as what you would use for an API, that can be any Server Side programming
language. I personally recomend using ASP.NET to create the API, and ADO.NET to talk to the database. There is lots of documentation all over the net on both of these subjects. A good place to start would be  for a Web API and  for information on ADO.NETFor those still interested about the topic, I shared a bare-bone implementation of TDS 7.0 which I made back in days. It was tested on Arduino Nano and Arduino Mega. Although very obsolete, this might give you an idea how to implement it if you choose to do so. ","If you want to send it to sql server using the arduino, you have one of two options. (And I think really only one) For both, you will need to write Arduino code that can talk to an external server.You can find info on that Next, you will need to decide if you want to send it directly to a SQL Server, or if you want to send it to a RESTful Web API, and have that API write the data to SQL Server. The first option will require you to write your own implementation for TDS over TCP. TDS is the protocol SQL Server uses to send and recieve database queries. You can find info on SQL Server and the TDS protocol This option will be a lot of work, and I am not sure that you will have enough room on the arduino to fit all of the code that would be required for even just a dirty, minimal implementation. Nevermind a reliable, quick, and safe one.Your other option would be to implement a way to send HTTP Requests over TCP using the arduino. This would allow you to talk to a Web-based REST API. The API would act as a middle man, taking HTTP GET or POST Requests from the arduino, and translating them to SQL Server by means of some database driver. As far as implementing HTTP with the arduino, you can do that with precreated libaries, like As far as what you would use for an API, that can be any Server Side programming
language. I personally recomend using ASP.NET to create the API, and ADO.NET to talk to the database. There is lots of documentation all over the net on both of these subjects. A good place to start would be  for a Web API and  for information on ADO.NETFor those still interested about the topic, I shared a bare-bone implementation of TDS 7.0 which I made back in days. It was tested on Arduino Nano and Arduino Mega. Although very obsolete, this might give you an idea how to implement it if you choose to do so. "
AWS IoT: Use MQTT on port 443,"I am trying to setup AWS IoT in Pi on port 443 using Paho MQTT .As AWS document () mentioned that I actually don't know how to achieve it properly in Paho MQTT ()What I tried to do (mqtt_apln.py)In Pi, I installed python 2.7.14 and paho-mqttBut When I run python mqtt_apln.py, it shows error: ImportError: No module named paho.mqtt.clientAny suggestion is appreciatedI think there are two things going on here. First, a  should make the package active for the current referenced python. For instance, under a 3.6.2 virtualenv should return:How did you install the paho-mqtt package, via an  package or directly with pip? Personally I virtualenv everything or include the package within the application directory via  to reference the current working directory.From there it's working with the ALPN configuration. I reduced your code to just publish to the  topic on my end-point and used the AWS IoT console-->Test to subscribe to the  topic. For both python 2.7.12 and 3.6.2 I successfully received messages.The main changes were to remove the callbacks, place a  followed by a  to give the thread time to publish, then closed the connection.Here is the code paired down for the publish only:Please let me know if that works for you? It's awesome that AWS now supports MQTT connections on port 443 without having to utilize websockets (and the need for SigV4 credentials).I ran into the same issue regarding the use of paho-mqtt with aws IoT core.
The tutorial uses no clientID. Depending on your security rules you have to deliver a client ID to be able to connect properly. Here an SDK-example ruleset where only the clients ""sdk-java"", ""basicPubSub"" and ""sdk-nodejs-*"" are allowed to connect.To allow connection in case you have permits based on clientid change this line:MYCLIENTID is one of the three ""sdk-java"", ""basicPubSub"" or ""sdk-nodejs-*"" for this example.","I think there are two things going on here. First, a  should make the package active for the current referenced python. For instance, under a 3.6.2 virtualenv should return:How did you install the paho-mqtt package, via an  package or directly with pip? Personally I virtualenv everything or include the package within the application directory via  to reference the current working directory.From there it's working with the ALPN configuration. I reduced your code to just publish to the  topic on my end-point and used the AWS IoT console-->Test to subscribe to the  topic. For both python 2.7.12 and 3.6.2 I successfully received messages.The main changes were to remove the callbacks, place a  followed by a  to give the thread time to publish, then closed the connection.Here is the code paired down for the publish only:Please let me know if that works for you? It's awesome that AWS now supports MQTT connections on port 443 without having to utilize websockets (and the need for SigV4 credentials).I ran into the same issue regarding the use of paho-mqtt with aws IoT core.
The tutorial uses no clientID. Depending on your security rules you have to deliver a client ID to be able to connect properly. Here an SDK-example ruleset where only the clients ""sdk-java"", ""basicPubSub"" and ""sdk-nodejs-*"" are allowed to connect.To allow connection in case you have permits based on clientid change this line:MYCLIENTID is one of the three ""sdk-java"", ""basicPubSub"" or ""sdk-nodejs-*"" for this example."
Store sensor data in MongoDB,"I'm working with Raspberry Pi trying to send the sensor data by using REST API back to Node.js (Express) and then store or update data inside MongoDB overtime. Since I have to work with many devices, how can I store data accordingly to its device. Is it a good idea to override objectId as raspberry pi serial no. and request POST/PUT to update its data overtime.You can add  key in the model of database.So for every device there will be a separate document with its own information (unique or having your raspberry pi serial no) .You can edit/delete etc the particular document by referencing  without interrupting mongoose ObjectId",You can add  key in the model of database.So for every device there will be a separate document with its own information (unique or having your raspberry pi serial no) .You can edit/delete etc the particular document by referencing  without interrupting mongoose ObjectId
MQTT over websocket in python,"is there any support in python to subscribe on mqtt broker with port 8080i can not connect with this code. Mosquitto has websocket support at port 8080 but this paho library does not work for it. any solution for python?
i am using python 2.7 on windows 10.The Paho MQTT module introduced websocket support some days ago. I don't think it is released yet, but you can install from the master under Linux branch usingAlso works under windows. (Thanks for info from the comments)You can use the websockets as transport by connecting withIf you try to use the websocket protocol with the python client because you also need to connect a browser client (for example MQTT.js) then you can also configure mosquitto to listen to  and the normal .Simply create a configuration file for example in with the following contents:Then you can then run mosquitto withYou should see similar output:Your python client then connects to port 1883 and the browser client to 9001You can use  to test the websocket listener. Just point it to Between Feb and now the paho.mqtt.python codebase has been fixed. Just add  as Fl0v0 suggested, it simply works. Below is the full code which subscribes to everything or everything under . The code tested is on the master branch with commit hash  on June 3 of 2016. Update: The code above does not work on Windows 7 with python 2.7.6 that I tested with, by invoking from one version of Cygwin (not the cygwin python though). None of the topic  or  gives any published message back. Instead, pub or sub to solid topics works as the example follows. Patch paho.mqtt.python  and . Then run  in one terminal. Run  in another terminal, twice. The subscriber terminal will print out two messages published by the publisher. Patch to :Patch to : No, the Python version of the Paho library does not support MQTT over Websockets.In fact I believe the only native client side (not in a browser) MQTT library that supports MQTT over Websockets is the NodeJS module ()","The Paho MQTT module introduced websocket support some days ago. I don't think it is released yet, but you can install from the master under Linux branch usingAlso works under windows. (Thanks for info from the comments)You can use the websockets as transport by connecting withIf you try to use the websocket protocol with the python client because you also need to connect a browser client (for example MQTT.js) then you can also configure mosquitto to listen to  and the normal .Simply create a configuration file for example in with the following contents:Then you can then run mosquitto withYou should see similar output:Your python client then connects to port 1883 and the browser client to 9001You can use  to test the websocket listener. Just point it to Between Feb and now the paho.mqtt.python codebase has been fixed. Just add  as Fl0v0 suggested, it simply works. Below is the full code which subscribes to everything or everything under . The code tested is on the master branch with commit hash  on June 3 of 2016. Update: The code above does not work on Windows 7 with python 2.7.6 that I tested with, by invoking from one version of Cygwin (not the cygwin python though). None of the topic  or  gives any published message back. Instead, pub or sub to solid topics works as the example follows. Patch paho.mqtt.python  and . Then run  in one terminal. Run  in another terminal, twice. The subscriber terminal will print out two messages published by the publisher. Patch to :Patch to : No, the Python version of the Paho library does not support MQTT over Websockets.In fact I believe the only native client side (not in a browser) MQTT library that supports MQTT over Websockets is the NodeJS module ()"
