Question Title,Description,Accepted Answer,Label
Is there any way to port WPF application to Windows IoT?,"We have developed a WPF application runs great on Windows 10. At this point we are looking for ways to run this software on a Minnowboard. This board has a Windows IoT OS. As I've seen it is only capable to run UWP applications. Is there any way to make our app run under IoT? Thanks.Of course you can port your code. Depending on how complex your app is, it still might need some rewriting as many APIs are not available anymore, have changed or were added.Maybe these links help you: enables WPF apps","Of course you can port your code. Depending on how complex your app is, it still might need some rewriting as many APIs are not available anymore, have changed or were added.Maybe these links help you: enables WPF apps",1
Azure IOT ExportDevicesAsync internal server error,"Same problem as . I'm following the  device list to blob storage but hitting an internal server error on ExportDevicesAsync. 
I'm using North Europe, but I don't think changing servers is really a valid fix.All I'm getting back is:Sample Code (connection strings and keys masked)Am I doing something wrong here? Is there a way to catch the real exception I'm missing?You may have wrong format of the exportBlobContainerUri. The right one looks like this:You can follow these steps to get the container SAS URI:For more information you can reference  and .",You may have wrong format of the exportBlobContainerUri. The right one looks like this:You can follow these steps to get the container SAS URI:For more information you can reference  and .,1
How to send a data from arduino uno to a webpage through esp8266 wifi module?,"i am designing an rfid attendance system with arduino uno, esp8266-01 wifi module, and a rfid reader. The task is to read a rfid card and to send its unique id number to a webpage (coded in php) which stores the data in a database. We sent at commands to the module from arduino ide serial monitor through a uno board. We used http POST method first to send the read rfid number to the webpage. As that attempt was a failure we tried using GET method. But neither of those methods worked.You are missing a few  and the length you are giving to your  is incorrect.Try sending this instead:To send  just hit . Make sure that  is selected in your serial monitor. At the end, yes you hit  twice.Here I am sending the value 2.Here how I get the 43 length:
You take the size of your GET (we have 49) and you subtract 1 for each  or . Because they are just one character. So we have .Please, make sure to try to send a value directly from the URL to verify that your PHP script is working fine. Fix any possible error before trying to send data through ESP8266. It is not recommended to use the API mysql, as it is deprecated and removed from new versions of php. See ()","You are missing a few  and the length you are giving to your  is incorrect.Try sending this instead:To send  just hit . Make sure that  is selected in your serial monitor. At the end, yes you hit  twice.Here I am sending the value 2.Here how I get the 43 length:
You take the size of your GET (we have 49) and you subtract 1 for each  or . Because they are just one character. So we have .Please, make sure to try to send a value directly from the URL to verify that your PHP script is working fine. Fix any possible error before trying to send data through ESP8266. It is not recommended to use the API mysql, as it is deprecated and removed from new versions of php. See ()",1
Possibilities of an ThingSpeak Channel,"I am new to ThingSpeak and after a few hours of researching I wonder if it is possible to post pictures or data from various web pages(for example weather data from the google weather api) to a thingspeak channel? All I found was that I would be able to visualize charts or something like that.
What I wanted to do is to collect data from various webservices(News, weather data, stock market data,..) and summarize them into the 8 channels of ThingSpeak. Is this possible? Or is there an alternative IoT platform I can use to accomplish my goal?Thank you in advance for your answers and have a nice evening :)You can't transmit images to ThingSpeak Cloud Platform. Rather you can upload your data to Google Drive using ESP8266 or any other Wi-Fi or GSM module from your IoT device as per requirement.",You can't transmit images to ThingSpeak Cloud Platform. Rather you can upload your data to Google Drive using ESP8266 or any other Wi-Fi or GSM module from your IoT device as per requirement.,1
Is there an autonimus realtime clock wilth month loss less than 10milliseconds?,"Looking for a realtime clock for IoT project. Need a millisecond resolution for my app protocol and its loss is critical. So I wonder if there is an  autonimus realtime clock (with a battery) that will loose less than 10ms per month and work for a year?The drift parameters you're asking for here -- 10 ms / 30 days -- imply <4 ppb accuracy. This will be a very difficult target to hit. A typical quartz timing crystal of the type used by most RTCs will drift by 50 - 100+  (50,000 - 100,000 ppb) just based on temperature fluctuations.Most of the higher-quality timing options (TCXO, OCXO, etc) will not be usable within your power budget -- a typical OCXO may require as much as 1W of (continuous) power to run its heater. About the only viable option I can think of would be a GPS timing receiver, which can synchronize a low-quality local oscillator to the GPS time, which is highly accurate.Ultimately, though, I suspect your best option will be to modify your protocol to loosen or remove these timing requirements.Sync it with the precise clock source like GPS for example. You can also use tiny atomic clock or in Europe DCF77 receiver.","The drift parameters you're asking for here -- 10 ms / 30 days -- imply <4 ppb accuracy. This will be a very difficult target to hit. A typical quartz timing crystal of the type used by most RTCs will drift by 50 - 100+  (50,000 - 100,000 ppb) just based on temperature fluctuations.Most of the higher-quality timing options (TCXO, OCXO, etc) will not be usable within your power budget -- a typical OCXO may require as much as 1W of (continuous) power to run its heater. About the only viable option I can think of would be a GPS timing receiver, which can synchronize a low-quality local oscillator to the GPS time, which is highly accurate.Ultimately, though, I suspect your best option will be to modify your protocol to loosen or remove these timing requirements.Sync it with the precise clock source like GPS for example. You can also use tiny atomic clock or in Europe DCF77 receiver.",1
purpose of Azure iot hub device-to-cloud partitions,"When creating a new Azure IOT Hub you are asked how many device-to-cloud partitions you need.  You can select between 2-32 partitions for standard tiers.           I understand that the SKU and number of units determine the maximum daily quota of messages that you can send to IOT Hub.  And that it is recommended to shard your devices into multiple IOT hubs to smooth traffic bursts.  However, device-to-cloud partitions need clarification.1>> What is the purpose of those device-to-cloud partitions under a single IOT hub?2>> How are we supposed to take advantage of those IOT Hub device-to-cloud partitions?  Thanks.Partition property is setting for Event Hub-compatible messaging endpoint(messages/events) built in Azure IoT Hub. From here we can see ""partitions"" is a concept belongs to Event Hub.Event Hubs is designed to allow a single partition reader per consumer group. A single partition within a consumer group cannot have more than 5 concurrent readers connected at any time. More partitions enables you to have more concurrent readers processing your data, improving your aggregate throughput.Ref:  and Event Hubs has two primary models for event consumption: direct receivers and higher-level abstractions, such as EventProcessorHost. Direct receivers are responsible for their own coordination of access to partitions within a consumer group.Ref:.More information about the partitioning model of Azure Event Hubs are .","1>> What is the purpose of those device-to-cloud partitions under a
single IOT hub?Partition property is setting for Event Hub-compatible messaging endpoint(messages/events) built in Azure IoT Hub. From here we can see ""partitions"" is a concept belongs to Event Hub.Event Hubs is designed to allow a single partition reader per consumer group. A single partition within a consumer group cannot have more than 5 concurrent readers connected at any time. More partitions enables you to have more concurrent readers processing your data, improving your aggregate throughput.Ref:  and 2>> How are we supposed to take advantage of those IOT Hub
device-to-cloud partitions?Event Hubs has two primary models for event consumption: direct receivers and higher-level abstractions, such as EventProcessorHost. Direct receivers are responsible for their own coordination of access to partitions within a consumer group.Ref:.More information about the partitioning model of Azure Event Hubs are .",1
C# Sending value from WebSocket Server Thread to Main(),"I am trying to write a program to control home automation devices. This involves a  server that runs infinitely in a background thread listening for clients. The client sends JSON packets that contain settings. When the server gets a JSON packet, I want it to read and change any settings as needed in the I have a working  server and I have tried to use the  but it never seems to see the handler. I suspect this occurs because they exist in different threads.I have attached my code below as well as the example I have been working off of. There is a chance I am way off the mark here but this is the best I could find with the reading I have been doing.Any help would be appreciated!This is the Main():This is my webSocket:This is the event handler example I am using:You may want to wrap the contents of your WebSocket response in code that invokes it in the Dispatcher thread.  ",You may want to wrap the contents of your WebSocket response in code that invokes it in the Dispatcher thread.  ,1
Amazon RDS billing,"My doubt is how the Amazon RDS instance is billed. I read somewhere that it is a component based billing based on the CPU/hour, number of input/output requests, etc.,How are the I/O requests interpreted? I have a model in which I am trying to reduce the number of input queries that go into the cloud. Will it reduce my yearly cost to a good extent?Full pricing information is available on the  page. It involves:There are . In fact, these requests are directly between client apps and the database and are not visible to AWS. Amazon Aurora also charges an ""I/O request"" charge. See comments below.","Full pricing information is available on the  page. It involves:There are . In fact, these requests are directly between client apps and the database and are not visible to AWS. Amazon Aurora also charges an ""I/O request"" charge. See comments below.",1
Mxchip IOT dev kit receiving data from IOT hub,"I just started playing with the mxchip. I want my device to trigger an alarm when receiving some command. It seems to me all examples I found are device collecting info and send to iot hub. Can mxchip receive data from iothub or azure function? And maybe some guidance on getting started?Yes, assuming you use the SDK from the examples for the MXChip you have those handlers available:Examples:Yes. Its possible to send messages to device ( Cloud-to-device) from IOT Hub.
Here is some example mentioned in these links","Yes, assuming you use the SDK from the examples for the MXChip you have those handlers available:Examples:Yes. Its possible to send messages to device ( Cloud-to-device) from IOT Hub.
Here is some example mentioned in these links",1
Transform a double into a 32-bit representation (and reverse procedure),"
I am currently working on a probe balloon. My communication is restricted to messages of the 12 bytes in which I have to transmit several pieces of information. (Altitude, max temperature, longitude, latitude, average acceleration).
The probe is based on a raspberry pi 2 b.
I am currently building my datagram and want to store my latitude and longitude as a 32-bit double (lossy). Storage can be done with floating point or fixed point
Are there tools to do this kind of conversion? How else can I do that? (in particular on the rounded party)
I initially planned to work in Java but I can migrate to python.Thank you in advanceInstead of using a  which is not really designed for a lat/long I suggest using a fraction.  If you multiply by  for latitude and  for longitude you will get a value which uses a 32-bit value more efficiently.printsin short, an  can have more than 100x the precision as it has 32-bits of precision whereas a  has a 23-bit mantissa.For longitude, this error represents 1.7m for float and 0.94 cm using an  this way. NOTE: If a 2m error is ok (more accurate than a mobile phone GPS) you might decide that  is simpler to work with.If you want to translate a  to 64-bits, you can use , and  to convert it back.If you want to convert 32-bit values to  values and back, the corresponding functions are  and .For  to 32 bits, I'd use a 2-step conversion, converting to  first:And back:Packing and unpacking directly to a buffer:Of course, this creates a 20 byte buffer (5 x 32 bit floats), not a 12 byte buffer, so you'll need to figure out which values you want as 32 bits, and which you can cram into smaller space.Unpacking, use a  and .","Instead of using a  which is not really designed for a lat/long I suggest using a fraction.  If you multiply by  for latitude and  for longitude you will get a value which uses a 32-bit value more efficiently.printsin short, an  can have more than 100x the precision as it has 32-bits of precision whereas a  has a 23-bit mantissa.For longitude, this error represents 1.7m for float and 0.94 cm using an  this way. NOTE: If a 2m error is ok (more accurate than a mobile phone GPS) you might decide that  is simpler to work with.If you want to translate a  to 64-bits, you can use , and  to convert it back.If you want to convert 32-bit values to  values and back, the corresponding functions are  and .For  to 32 bits, I'd use a 2-step conversion, converting to  first:And back:Packing and unpacking directly to a buffer:Of course, this creates a 20 byte buffer (5 x 32 bit floats), not a 12 byte buffer, so you'll need to figure out which values you want as 32 bits, and which you can cram into smaller space.Unpacking, use a  and .",1
Azure IoT data warehouse updates,"I am building Azure IoT solution for my BI project. For now I have an application that once per set time window sends a .csv blob to Azure Blob Storage with incremental number in name. So after some time I will have in my storage files such as 'data1.csv', 'data2.csv', 'data3.csv', etc.Now I will need to load these data into a database which will be my warehouse with the use of Azure Stream Analytics job. The issue might be that .CSV files will have overlapping data. They will be send every 4h and contain data for past 24h. I need to always read only last file (with highest number) and prepare lookup so it properly updates data in the warehouse. What will be the best approach to make Stream Analytics read only latest file and for updating records in DB?EDIT:
TO clarify - I am fully aware that ASA is not capable of being an ETL job. My question is what would be best approach for my case with using IoT toolsI would suggest one of these 2 ways: Thanks,
JS - Azure Stream Analytics","I would suggest one of these 2 ways: Thanks,
JS - Azure Stream Analytics",1
Azure IoT Hub Operations Monitoring,"I have an Azure IoT hub that I connect devices to. I want to enable monitoring to monitor devices connecting and disconnecting from the hub. I've enabled Verbose on Connections in the monitoring categories for my Iot hub:My devices connect to my Hub and show in Device Explorer:I then have an Azure Function set to log my data from the Operations Monitoring to an Azure SQL db:If I enable Device Identity Operations in Operations Monitoring, I get create events being logged. So I'm confident the inputs to the function is correct. However, nothing is ever created for Connections???I can also send messages to my connected devices fine. I'm just seeing no events for connections / disconnections.I've also tried creating a Stream Analytics and sampling the input for a period where I know I have connections / disconnections and nothing is being found.I have resolved this by forcing my device to connect over MQTT in the dev environment and now I see it connecting and disconnecting.Unfortunately I can't use MQTT in production.Does anyone know if Connection / Disconnection events are only possible in MQTT as opposed to AMQP?If you just would like to get devices connection states, use REST instead.Also, here's an online tool to monitor devices connection state.
We invented a data flow to determine ""device state"".  We created a Stream Analytics Job, wired to the  (that's the  type in the IOT Input definition).  We have the Stream Analytics query   a ServiceBus queue . We have a WebJob processing that queue and updating a persistent store (SQL Table, Azure Table, your pick) where we write down the status.  A UI (or WebAPI Controller) can then inspect that persistent store.So far we have all the  (in the IOT Hub Portal blade) set to  but may dial it down later.We do get data.","I have resolved this by forcing my device to connect over MQTT in the dev environment and now I see it connecting and disconnecting.Unfortunately I can't use MQTT in production.Does anyone know if Connection / Disconnection events are only possible in MQTT as opposed to AMQP?If you just would like to get devices connection states, use REST instead.Also, here's an online tool to monitor devices connection state.
We invented a data flow to determine ""device state"".  We created a Stream Analytics Job, wired to the  (that's the  type in the IOT Input definition).  We have the Stream Analytics query   a ServiceBus queue . We have a WebJob processing that queue and updating a persistent store (SQL Table, Azure Table, your pick) where we write down the status.  A UI (or WebAPI Controller) can then inspect that persistent store.So far we have all the  (in the IOT Hub Portal blade) set to  but may dial it down later.We do get data.",1
Python Paho MQTT: Unable to publish immediately in a function,"I am implementing a program that listen to a specific topic and react to it when a new message is published by my ESP8266. When a new message is received from ESP8266, my program will trigger the callback and perform a set of tasks. I am publishing two messages in my callback function back to the topic that the Arduino is listening. However, the messages are published only after the function exits. Thank you for all your time in advance. I have tried to use loop(1) with a timeout of 1 second inside the callback function. The program will publish the message immediately, but it seems to stuck in the loop. Will someone be able to give me some pointers how can I execute each publish function immediately in my callback function, instead of when the whole callback completes and return to the main loop_forever()?You can't do this, you are already in the message handling loop (that's what called the on_message function) at the point you call publish. This will queue the outgoing messages to be handled by the next iteration of the loop, that's why they are sent once on_message returns.It hangs when you call the loop method because the loop is already running.You should not be making blocking (sleep) calls in the on_message callback anyway, if you need to do thing that take time, start up a second thread to do these. By doing this you free up the network loop to handle the outgoing publishes as soon as they are made.","You can't do this, you are already in the message handling loop (that's what called the on_message function) at the point you call publish. This will queue the outgoing messages to be handled by the next iteration of the loop, that's why they are sent once on_message returns.It hangs when you call the loop method because the loop is already running.You should not be making blocking (sleep) calls in the on_message callback anyway, if you need to do thing that take time, start up a second thread to do these. By doing this you free up the network loop to handle the outgoing publishes as soon as they are made.",1
pubnub.publish message string format,"I tried to publish message writing code,But the android returns error by turning red
I even put \"" and it turns green out of blue but problem is what got on pubnub console the message is .
What proper statement i should have inserted i need advise. And here's the json object i wanna publish,You should just publish the json object. The SDK will do the conversion on the hood for you. Use the following code to properly build the object.Eric",You should just publish the json object. The SDK will do the conversion on the hood for you. Use the following code to properly build the object.Eric,1
Suitable API for using IoT devices? [closed],"I am writing an iOS app and want to be able to connect to IoT devices (get data from them). I want to be able to search an area for IoT devices I can connect to; (whether they be weather stations, seismographs, etc) (and potentially filter out devices of some sought if possible).Is there an API which offers this? (finding IoT devices in an area), if not, is there another fairly straight forward way I could do this?There is no way to simply ""search for IoT devices"". I'm afraid that you might have a misunderstanding of IoT devices are and how they exchange data. They can send data via bluetooth, wifi, etc. so not knowing what listen to is your first challenge. Second challenge is that even if you could see all of them and lets say but some super natural force you can connect to them, you'd have no idea the format of the data. A seismograph could be pumping out data that looks just like a weather station data. ","There is no way to simply ""search for IoT devices"". I'm afraid that you might have a misunderstanding of IoT devices are and how they exchange data. They can send data via bluetooth, wifi, etc. so not knowing what listen to is your first challenge. Second challenge is that even if you could see all of them and lets say but some super natural force you can connect to them, you'd have no idea the format of the data. A seismograph could be pumping out data that looks just like a weather station data. ",1
